date,time,water_level,water_temp,wind_speed,wind_dir,wind_gust,air_temp
15-07-20,02:00,0.116,31.1,9.69,182,12.41,-
15-07-20,03:00,0.087,30.9,8.8,185,13,-
15-07-20,04:00,0.076,30.6,8.92,184,12.08,-
15-07-20,05:00,0.066,30.3,6.86,182,11.16,-
15-07-20,06:00,0.056,30.2,6.09,191,7.82,-
15-07-20,07:00,0.05,30.1,6.25,181,7.8,-
15-07-20,08:00,0.045,30,4.95,211,7.97,-
15-07-20,09:00,0.068,29.8,6.27,227,9.42,-
15-07-20,10:00,0.089,29.6,5.18,182,6.79,-
15-07-20,11:00,0.102,29.4,4.14,194,6.6,-
15-07-20,12:00,0.117,29.3,4.5,187,6.24,-
15-07-20,13:00,0.124,29.2,5.08,179,6.25,-
15-07-20,14:00,0.13,29.2,7.9,180,9.12,-
15-07-20,15:00,0.137,29.2,8.85,189,10.33,-
15-07-20,16:00,0.157,29.3,7.74,176,9.64,-
15-07-20,17:00,0.173,29.6,6.44,179,9.68,-
15-07-20,18:00,0.183,29.9,7.39,172,11.84,-
15-07-20,19:00,0.199,30.6,6.08,155,8.79,-
15-07-20,20:00,0.194,30.9,9.28,167,11.63,-
15-07-20,21:00,0.191,31.1,10.37,160,12.62,-
15-07-20,22:00,0.189,31.2,9.13,171,12.63,-
15-07-20,23:00,0.179,31.2,10.43,165,12.02,-
16-07-20,00:00,0.152,31.1,8.45,174,12.07,-
16-07-20,01:00,0.131,30.8,9.13,178,11.54,-
16-07-20,02:00,0.113,30.6,6.94,171,10.55,-
16-07-20,03:00,0.071,30.3,5.83,175,8.57,-
16-07-20,04:00,0.043,30.1,6.67,175,7.88,-
16-07-20,05:00,0.02,30,7.13,181,9.08,-
16-07-20,06:00,0.011,29.7,6.68,183,8.15,-
16-07-20,07:00,0.01,29.7,5.51,177,6.97,-
16-07-20,08:00,0.019,29.6,5.06,182,6.24,-
16-07-20,09:00,0.039,29.5,6.24,174,8.1,-
16-07-20,10:00,0.059,29.3,3.81,178,5.63,-
16-07-20,11:00,0.08,29.2,4.91,171,6.81,-
16-07-20,12:00,0.099,29.1,5.26,175,7.07,-
16-07-20,13:00,0.12,29,5.22,197,6.54,-
16-07-20,14:00,0.149,29.1,6.66,171,7.11,-
16-07-20,15:00,0.171,29.2,5.75,165,9.65,-
16-07-20,16:00,0.198,29.4,5.37,179,6.88,-
16-07-20,17:00,0.211,30,6.97,170,10.6,-
16-07-20,18:00,0.23,30.3,7.67,165,8.82,-
16-07-20,19:00,0.234,30.7,9.31,160,10.91,-
16-07-20,20:00,0.247,30.9,8.69,165,11.41,-
16-07-20,21:00,0.253,31.2,7.55,145,10.16,-
16-07-20,22:00,0.24,31.5,7.75,150,10.29,-
16-07-20,23:00,0.226,31.6,8.07,166,11.27,-
17-07-20,00:00,0.197,31.5,8.09,176,9.87,-
17-07-20,01:00,0.166,31.3,7.96,169,8.96,-
17-07-20,02:00,0.138,31,6.68,162,9.76,-
17-07-20,03:00,0.106,30.8,6.91,168,8.4,-
17-07-20,04:00,0.076,30.6,6.15,172,7.87,-
17-07-20,05:00,0.042,30.4,5.14,178,6.47,-
17-07-20,06:00,0.014,30.3,5.3,179,7.48,-
17-07-20,07:00,-0.008,30.2,4.06,234,5.85,-
17-07-20,08:00,-0.011,30,4.69,181,6.52,-
17-07-20,09:00,0.01,29.9,2.46,200,3.09,-
17-07-20,10:00,0.039,29.8,2.65,196,3.09,-
17-07-20,11:00,0.065,29.7,2.31,182,4.21,-
17-07-20,12:00,0.09,29.6,2.05,192,4.3,-
17-07-20,13:00,0.115,29.4,2.5,186,3.81,-
17-07-20,14:00,0.141,29.4,2.73,199,5.83,-
17-07-20,15:00,0.15,29.5,4.99,210,6.79,-
17-07-20,16:00,0.164,29.6,2.71,245,4.73,-
17-07-20,17:00,0.173,29.8,3.63,120,4.58,-
17-07-20,18:00,0.192,30.4,6.69,116,7.44,-
17-07-20,19:00,0.214,30.8,8.35,146,9.86,-
17-07-20,20:00,0.274,31.1,11.7,151,13.51,-
17-07-20,21:00,0.342,30.9,9.05,143,10.48,-
17-07-20,22:00,0.302,30.7,5.41,97,7.34,-
17-07-20,23:00,0.216,30.4,2.15,156,2.24,-
18-07-20,00:00,0.17,30.3,3.13,55,3.87,-
18-07-20,01:00,0.126,30.2,2.65,101,3.29,-
18-07-20,02:00,0.091,30.1,4.01,120,4.14,-
18-07-20,03:00,0.059,30,3.23,178,3.59,-
18-07-20,04:00,0.023,29.8,2.94,177,3.55,-
18-07-20,05:00,0.006,29.6,3.22,183,4.28,-
18-07-20,06:00,-0.002,29.5,4.27,169,4.71,-
18-07-20,07:00,-0.005,29.3,3.19,178,5.41,-
18-07-20,08:00,0.016,29,2.91,175,4.68,-
18-07-20,09:00,0.033,28.9,2.44,168,5.56,-
18-07-20,10:00,0.053,28.8,3.12,163,4.14,-
18-07-20,11:00,0.079,28.8,3.09,166,3.77,-
18-07-20,12:00,0.102,28.7,3.23,145,4.16,-
18-07-20,13:00,0.14,28.6,3.86,144,5,-
18-07-20,14:00,0.166,28.6,3.85,147,4.93,-
18-07-20,15:00,0.192,28.7,2.97,154,4.1,-
18-07-20,16:00,0.223,29.1,6,131,7.38,-
18-07-20,17:00,0.249,29.4,6.5,124,8.18,-
18-07-20,18:00,0.271,29.8,8.16,121,9.09,-
18-07-20,19:00,0.299,30.1,8.26,150,9.9,-
18-07-20,20:00,0.32,30.4,6.96,161,9.87,-
18-07-20,21:00,0.305,30.5,3.6,344,5.16,-
18-07-20,22:00,0.291,30.6,2.28,48,2.49,-
